State,StateCode,Region
Alaska,AK,West
Alabama,AL,South
Arkansas,AR,South
Arizona,AZ,West
California,CA,West
Colorado,CO,West
Connecticut,CT,Northeast
District of Columbia,DC,South
Delaware,DE,South
Florida,FL,South
Georgia,GA,South
Hawaii,HI,West
Iowa,IA,Midwest
Idaho,ID,West
Illinois,IL,Midwest
Indiana,IN,Midwest
Kansas,KS,Midwest
Kentucky,KY,South
Louisiana,LA,South
Massachusetts,MA,Northeast
Maryland,MD,South
Maine,ME,Northeast
Michigan,MI,Midwest
Minnesota,MN,Midwest
Missouri,MO,Midwest
Mississippi,MS,South
Montana,MT,West
North Carolina,NC,South
North Dakota,ND,Midwest
Nebraska,NE,Midwest
New Hampshire,NH,Northeast
New Jersey,NJ,Northeast
New Mexico,NM,West
Nevada,NV,West
New York,NY,Northeast
Ohio,OH,Midwest
Oklahoma,OK,South
Oregon,OR,West
Pennsylvania,PA,Northeast
Rhode Island,RI,Northeast
South Carolina,SC,South
South Dakota,SD,Midwest
Tennessee,TN,South
Texas,TX,South
Utah,UT,West
Virginia,VA,South
Vermont,VT,Northeast
Washington,WA,West
Wisconsin,WI,Midwest
West Virginia,WV,South
Wyoming,WY,West
